Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
GCP,JBPACEDSR001,DefaultInstanceName,defaultBackupSet,default,#_STP_GCP_FS_FILES_NL,Primary,0.0,0.0,0.054,0.054,0.019
AWS - Glacier,LQPANETSR001,DefaultInstanceName,defaultBackupSet,default,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,LQPANETSR001,DefaultInstanceName,defaultBackupSet,default,#_STP_GCP_FS_FILES_NL,Primary,0.089,0.0,0.008,0.008,0.003
DCCM - OnPremisses,LQPAINFSR005,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.087,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPASGASR003,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.024,0.0,0.0,0.0,0.0
AWS - Glacier,JBPASGASR003,DefaultInstanceName,defaultBackupSet,default,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,JBPASGASR003,DefaultInstanceName,defaultBackupSet,default,#_STP_GCP_FS_FILES_NL,Primary,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPADSSSR004,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.078,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPAADSSR002,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.044,0.0,0.0,0.0,0.0
AWS - Glacier,LQPACARSR002,DefaultInstanceName,defaultBackupSet,default,#STP_DATACENTER_FS_02,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,LQPACARSR002,DefaultInstanceName,defaultBackupSet,default,#_STP_GCP_FS_FILES_NL,Primary,0.105,0.0,0.02,0.02,0.007
DCCM - OnPremisses,JBPAINFSR075,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.066,0.0,0.0,0.0,0.0
DCCM - OnPremisses,JBPBSNWSR002,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.081,0.0,0.0,0.0,0.0
DCCM - OnPremisses,LQPAVIRSR006,VMware,defaultBackupSet,Cluster_PRDJB_CSPROD,#STP_DATACENTER_VM_01,Primary,0.026,0.0,0.0,0.0,0.0
DCCM - OnPremisses,LQPAVIRSR006,DefaultInstanceName,defaultBackupSet,default,#STP_DATACENTER_FS_01,1.Primary,0.0,0.0,0.021,0.021,0.005
